id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
53135020	20020131	1	900000000000207008	237599002	44054006	0	116680003	900000000000011006	900000000000451002
53137028	20020131	1	900000000000207008	237600004	75524006	0	116680003	900000000000011006	900000000000451002
53138022	20020131	1	900000000000207008	237601000	8801005	0	116680003	900000000000011006	900000000000451002
53140028	20020131	1	900000000000207008	237603002	49817004	0	116680003	900000000000011006	900000000000451002
53170022	20020131	1	900000000000207008	237619009	5969009	0	116680003	900000000000011006	900000000000451002
53181020	20020131	1	900000000000207008	237627000	44054006	0	116680003	900000000000011006	900000000000451002
93015025	20240201	1	900000000000207008	11530004	73211009	0	116680003	900000000000011006	900000000000451002
111560020	20240201	1	900000000000207008	290002008	46635009	0	116680003	900000000000011006	900000000000451002
162646029	20020131	1	900000000000207008	359642000	44054006	0	116680003	900000000000011006	900000000000451002
185612029	20020131	1	900000000000207008	23045005	46635009	0	116680003	900000000000011006	900000000000451002
192748027	20020131	1	900000000000207008	2751001	51002006	0	116680003	900000000000011006	900000000000451002
193583022	20020131	1	900000000000207008	28032008	46635009	0	116680003	900000000000011006	900000000000451002
218042024	20020131	1	900000000000207008	42954008	8801005	0	116680003	900000000000011006	900000000000451002
219771021	20020131	1	900000000000207008	44054006	73211009	0	116680003	900000000000011006	900000000000451002
224004020	20020131	1	900000000000207008	46635009	73211009	0	116680003	900000000000011006	900000000000451002
224444024	20020131	1	900000000000207008	46894009	11687002	0	116680003	900000000000011006	900000000000451002
230983028	20020131	1	900000000000207008	51002006	8801005	0	116680003	900000000000011006	900000000000451002
235427022	20020131	1	900000000000207008	5368009	8801005	0	116680003	900000000000011006	900000000000451002
242249023	20020131	1	900000000000207008	57886004	75524006	0	116680003	900000000000011006	900000000000451002
244168027	20020131	1	900000000000207008	59079001	8801005	0	116680003	900000000000011006	900000000000451002
269988020	20020131	1	900000000000207008	75022004	11687002	0	116680003	900000000000011006	900000000000451002
270797021	20020131	1	900000000000207008	75524006	8801005	0	116680003	900000000000011006	900000000000451002
280511025	20020131	1	900000000000207008	81531005	44054006	0	116680003	900000000000011006	900000000000451002
291763025	20020131	1	900000000000207008	8801005	73211009	0	116680003	900000000000011006	900000000000451002
325960023	20020131	1	900000000000207008	190368000	46635009	0	116680003	900000000000011006	900000000000451002
325965029	20020131	1	900000000000207008	190372001	46635009	0	116680003	900000000000011006	900000000000451002
