id	effectiveTime	active	moduleId	definitionStatusId
721088003	20170131	1	900000000000207008	900000000000074008
722206009	20170131	1	900000000000207008	900000000000074008
722454003	20170131	1	900000000000207008	900000000000074008
724067006	20170731	1	900000000000207008	900000000000074008
733072002	20170731	1	900000000000207008	900000000000074008
734022008	20170731	1	900000000000207008	900000000000074008
737212004	20180131	1	900000000000207008	900000000000073002
782755007	20190731	1	900000000000207008	900000000000074008
782825008	20190731	1	900000000000207008	900000000000074008
783722008	20190731	1	900000000000207008	900000000000074008
816067005	20200131	1	900000000000207008	900000000000074008
870528001	20240201	1	900000000000207008	900000000000073002
890171006	20210131	1	900000000000207008	900000000000074008
1142044000	20210731	1	900000000000207008	900000000000074008
1197592001	20220228	1	900000000000207008	900000000000074008
1217044000	20220430	1	900000000000207008	900000000000074008
1217068008	20220430	1	900000000000207008	900000000000074008
1255271005	20221031	1	900000000000207008	900000000000074008
1285518004	20230630	1	900000000000207008	900000000000074008
1285519007	20230630	1	900000000000207008	900000000000074008
1290118005	20230901	1	900000000000207008	900000000000074008
1303868000	20240301	1	900000000000207008	900000000000074008
201000119106	20130731	1	900000000000207008	900000000000073002
1481000119100	20150131	1	900000000000207008	900000000000074008
31321000119102	20150131	1	900000000000207008	900000000000074008
40791000119105	20240201	1	900000000000207008	900000000000073002
40801000119106	20240201	1	900000000000207008	900000000000073002
105401000119101	20150131	1	900000000000207008	900000000000073002
106281000119103	20140731	1	900000000000207008	900000000000074008
164971000119101	20240201	1	900000000000207008	900000000000073002
10753491000119101	20240201	1	900000000000207008	900000000000073002
10754881000119104	20140731	1	900000000000207008	900000000000074008
530558861000132104	20170131	1	900000000000207008	900000000000074008
